,target
1047,69.54343068
1048,61.63982404
1049,27.50292662
1050,21.12870747
1051,18.67998237
1052,17.06111569
1053,21.20214956
1054,30.23748211
1055,29.27740588
1056,79.74493277
1057,91.14452028
1058,90.15923341
1059,64.02415516
1060,73.0949285
1061,31.35248089
1062,14.43131586
1063,18.21667559
1064,18.64995921
1065,15.91839586
1066,42.67910791
1067,46.56717344
1068,84.66004134
1069,107.25459865
1070,92.94131809
1071,83.48075226
1072,69.3194841
1073,54.3999591
1074,28.30986036
1075,17.96707347
1076,38.93701797
1077,34.36083109
1078,51.30586879
1079,69.00480061
1080,54.95028106
1081,41.75834965
1082,21.37901572
1083,22.49357949
1084,15.59663798
1085,23.84740877
1086,23.9056721
1087,23.97976914
1088,47.31966582
1089,81.55048201
1090,115.19436066
1091,117.34930649
1092,98.18761359
1093,68.45048095
1094,33.1370371
1095,39.74530939
1096,24.92910672
1097,25.07728835
1098,28.85957364
1099,27.84343804
1100,29.78608106
1101,36.33863815
1102,46.81312799
1103,52.42333787
1104,42.85894815
1105,20.54752284
1106,21.6703012
1107,16.70789439
1108,23.43711478
1109,16.9858288
1110,18.32068425
1111,15.71169153
1112,17.04668166
1113,24.66711774
1114,14.73903938
1115,8.44351405
1116,9.58114167
1117,9.31495625
1118,6.7961287
1119,6.99089112
1120,12.62163206
1121,12.80951691
1122,10.74071307
1123,8.14087394
1124,20.42397938
1125,28.9607698
1126,25.65285241
1127,14.42119076
1128,14.8494872
1129,16.7972636
1130,14.61715491
1131,13.78181787
1132,17.48258474
1133,12.10466265
1134,12.70448335
1135,11.96994683
1136,12.40815535
1137,16.64936902
1138,10.68717683
1139,12.0096553
1140,6.81808425
1141,5.04223877
1142,4.48800574
1143,4.1619734
1144,4.8545196
1145,3.64475731
1146,7.26724825
1147,8.58527469
1148,10.62729938
1149,11.52938791
1150,11.68190834
1151,11.44707971
1152,13.82271972
1153,15.78978175
1154,17.14371473
1155,15.3420979
1156,17.09608373
1157,14.47661876
1158,31.94433772
1159,67.88515106
1160,72.13755855
1161,61.28669825
1162,63.91414761
1163,43.78946889
1164,42.1268877
1165,32.73065518
1166,24.77599486
1167,24.39306555
1168,27.69756474
1169,32.28167167
1170,38.64979933
1171,48.95828857
1172,39.25150789
1173,50.5619654
1174,24.28985136
1175,21.45513297
1176,20.50808151
1177,18.91129495
1178,23.61126921
1179,20.68894255
1180,33.89276445
1181,50.99412826
1182,46.0329037
1183,26.69644623
1184,19.50595709
1185,17.75480902
1186,21.73321602
1187,24.07981195
1188,10.64390081
1189,8.88645193
1190,10.12828978
1191,7.90864319
1192,20.56367336
1193,18.36723459
1194,36.17366815
1195,63.0104158
1196,58.86578912
1197,53.30640983
1198,55.71633036
1199,40.02850963
1200,38.23075718
1201,27.76534821
1202,29.96949018
1203,36.85902758
1204,45.94225443
1205,39.87352117
1206,26.87430551
1207,30.78288893
1208,26.79063367
1209,26.79324464
1210,19.52373182
1211,24.13530608
1212,22.92642694
1213,18.35750584
1214,20.47204672
1215,25.24190521
1216,32.14485617
1217,41.598008
1218,35.38535474
1219,31.19701837
1220,23.80378279
1221,31.2574469
1222,24.37028201
1223,22.37392752
1224,26.09989275
1225,57.41176213
1226,49.18648988
1227,44.74333476
1228,41.60286589
1229,40.46786606
1230,34.21237146
1231,26.24340117
1232,22.69507339
1233,27.07004364
1234,10.86675546
1235,23.20113529
1236,36.78076636
1237,48.50619421
1238,46.67372257
1239,32.00945805
1240,28.75483073
1241,22.46919311
1242,31.30464406
1243,39.00004556
1244,34.17057279
1245,32.98098158
1246,37.16000122
1247,43.11460426
1248,54.89302508
1249,70.48865952
1250,75.58777238
1251,67.46726204
1252,52.76174191
1253,44.70942845
1254,33.57150229
1255,34.34423662
1256,29.53983091
1257,31.71299005
1258,34.03845058
1259,44.81515563
1260,42.24536495
1261,40.83625766
1262,29.41366974
1263,21.55666815
1264,19.2014211
1265,18.41581895
1266,24.44377048
1267,27.27994582
1268,50.29572425
1269,77.91227547
1270,83.24326928
1271,79.89298625
1272,59.59108307
1273,51.4429824
1274,49.39828217
1275,45.68188335
1276,42.07314666
1277,32.2246824
1278,24.70478288
1279,22.6211
1280,22.9500368
1281,29.36700145
1282,45.32618998
1283,38.04008152
